date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:11:04	84/84	---MCZ	200	added ('OK')	text/plain	etag:W/%2259b2ccfd-46%22	https://www.economicshelp.org/robots.txt		(from )
06:11:05	162957/162957	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Oct%202022%2013:11:05%20GMT	https://www.economicshelp.org/	C:/10Intership/econic%20sector/www.economicshelp.org/index.html	(from )
06:11:05	88932/88932	---MCZ	200	added ('OK')	text/css	etag:W/%2262cde02a-15b64%22	https://www.economicshelp.org/wp-includes/css/dist/block-library/style.min.css?ver=6.0.2	C:/10Intership/econic%20sector/www.economicshelp.org/wp-includes/css/dist/block-library/style.min5b21.css	(from https://www.economicshelp.org/)
06:11:05	10419/10419	---MCZ	200	added ('OK')	text/css	etag:W/%22632a0959-28c3%22	https://www.economicshelp.org/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=8.3.2	C:/10Intership/econic%20sector/www.economicshelp.org/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style5d50.css	(from https://www.economicshelp.org/)
06:11:05	210897/210897	---MCZ	200	added ('OK')	text/css	etag:W/%22632a0959-33805%22	https://www.economicshelp.org/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=8.3.2	C:/10Intership/econic%20sector/www.economicshelp.org/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style5d50.css	(from https://www.economicshelp.org/)
06:11:05	1091/1091	---MCZ	200	added ('OK')	text/css	etag:W/%2262f2ab2e-52d%22	https://www.economicshelp.org/wp-content/plugins/anti-spam/assets/css/admin-bar.css?ver=7.3.1	C:/10Intership/econic%20sector/www.economicshelp.org/wp-content/plugins/anti-spam/assets/css/admin-bard5a8.css	(from https://www.economicshelp.org/)
06:11:06	2593/2593	---MCZ	200	added ('OK')	text/css	etag:W/%22627ba20d-c22%22	https://www.economicshelp.org/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-public.css?ver=2.1.2	C:/10Intership/econic%20sector/www.economicshelp.org/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-public431f.css	(from https://www.economicshelp.org/)
06:11:06	22849/22849	---MCZ	200	added ('OK')	text/css	etag:W/%22627ba20d-6a71%22	https://www.economicshelp.org/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-gdpr.css?ver=2.1.2	C:/10Intership/econic%20sector/www.economicshelp.org/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-gdpr431f.css	(from https://www.economicshelp.org/)
06:11:06	401/401	---MCZ	200	added ('OK')	text/css	etag:W/%225e727514-202%22	https://www.economicshelp.org/wp-content/plugins/woocommerce-follow-up-emails/templates/followups.css?ver=4.8.28	C:/10Intership/econic%20sector/www.economicshelp.org/wp-content/plugins/woocommerce-follow-up-emails/templates/followups7ead.css	(from https://www.economicshelp.org/)
06:11:06	17809/17809	---MCZ	200	added ('OK')	text/css	etag:W/%22632a0958-4591%22	https://www.economicshelp.org/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=6.9.2	C:/10Intership/econic%20sector/www.economicshelp.org/wp-content/plugins/woocommerce/assets/css/woocommerce-layout2cfc.css	(from https://www.economicshelp.org/)
